,Player ID,Name,Full Name,Team Name,Position,Height,Weight,Birth Date,Birth Place,Retired,Player Url,Current Team ID,All Teams,Total Seasons,Total Games,Games Started,Total Minutes Played,Field Goals,Field Goals Attempted,Field Goal %,3pt,3pt Attempted,3pt %,2pt,2pt Attempted,2pt %,Free Throws,Free Throws Attempted,Free Throws %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
36,40,Mark Alarie,Mark Steven Alarie,retired,F,80,217.0,December 11 1963,"Phoenix, Arizona",True,/players/a/alarima01.html,0.0,[8],5,325.0,41.0,5500.0,6.79,14.29,47.55,0.23,0.87,26.67,6.59,13.42,49.16,2.13,2.72,78.54,2.87,4.46,7.31,2.38,0.85,0.71,2.02,4.67,15.93
37,41,Gary Alcorn,Gary R. Alcorn,retired,C,81,225.0,October 8 1936,Unknown,True,/players/a/alcorga01.html,0.0,"[9, 14]",2,78.0,0.3415450083561393,844.0,4.41,15.05,29.28,0.0,0.0,0.0,4.41,15.05,29.28,2.35,3.92,59.97,9.57,4.46,14.03,1.04,0.0,0.0,0.0,7.24,11.16
38,42,Furkan Aldemir,Furkan Aldemir,retired,F-C,82,240.0,August 9 1991,"Konak, Turkey",True,/players/a/aldemfu01.html,0.0,[],1,41.0,9.0,540.0,2.7,5.2,51.92,0.0,0.3,0.0,2.7,4.9,55.1,0.9,1.8,50.0,5.2,6.5,11.7,1.9,1.1,1.1,1.1,6.4,6.2
39,43,Cole Aldrich,Cole David Aldrich,retired,C,83,250.0,October 31 1988,"Burnsville, Minnesota",True,/players/a/aldrico01.html,0.0,"[20, 18, 13, 21, 11, 26]",8,384.0,23.0,3777.0,4.56,8.62,52.98,0.0,0.0,0.0,4.56,8.62,52.98,1.81,2.54,71.34,3.47,8.46,11.94,1.84,1.37,2.45,2.14,5.44,10.98
40,44,LaMarcus Aldridge,LaMarcus Nurae Aldridge,San Antonio Spurs,F-C,83,260.0,July 19 1985,"Dallas, Texas",False,/players/a/aldrila01.html,27.0,"[25, 27]",14,1000.0,959.0,34425.0,8.25,16.81,49.09,0.18,0.61,29.76,8.08,16.21,49.84,3.73,4.6,81.09,2.81,5.93,8.73,2.08,0.75,1.17,1.64,2.58,20.44
41,45,Chuck Aleksinas,Charles John Aleksinas,retired,C,83,260.0,February 26 1959,"Litchfield, Connecticut",True,/players/a/aleksch01.html,0.0,[],1,74.0,4.0,1114.0,5.2,10.9,47.71,0.0,0.0,0.0,5.2,10.9,47.71,1.8,2.4,75.0,2.8,5.9,8.7,1.2,0.5,0.5,2.3,5.5,12.2
42,46,Cliff Alexander,Cliff Alexander,retired,F,80,245.0,November 16 1995,"Chicago, Illinois",True,/players/a/alexacl01.html,0.0,[],1,8.0,0.0,36.0,5.0,10.0,50.0,0.0,0.0,0.0,5.0,10.0,50.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,1.0,2.0,1.0,1.0,10.0
43,47,Cory Alexander,Cory Lynn Alexander,retired,G,73,185.0,June 22 1973,"Waynesboro, Virginia",True,/players/a/alexaco01.html,0.0,"[27, 8, 22, 4]",7,367.0,57.0,6145.0,4.44,11.17,39.75,1.76,4.95,35.66,2.67,6.23,42.81,2.03,2.65,76.81,0.56,3.11,3.66,6.11,1.92,0.28,3.39,3.59,12.69
44,48,Courtney Alexander,Courtney Jason Alexander,retired,G,77,205.0,April 27 1977,"Bridgeport, Connecticut",True,/players/a/alexaco02.html,0.0,"[30, 19, 7]",3,252.0,83.0,5449.0,5.9,14.04,42.05,0.37,1.1,33.36,5.51,12.94,42.6,3.06,3.76,81.35,1.1,2.56,3.63,1.9,1.03,0.16,1.83,3.41,15.23
45,49,Gary Alexander,Gary R. Alexander,retired,F,79,240.0,November 1 1969,"Jacksonville, Florida",True,/players/a/alexaga01.html,0.0,"[6, 16]",1,22.0,0.0,110.0,5.23,9.16,57.11,0.0,0.0,0.0,5.23,9.16,57.11,1.98,5.91,33.45,4.58,5.21,9.79,1.29,1.98,0.0,5.23,6.54,12.41
46,50,Joe Alexander,Joe Anthony Alexander,retired,F,80,230.0,December 26 1986,"Kaohsiung, Taiwan",True,/players/a/alexajo01.html,0.0,"[17, 5]",2,67.0,0.0,745.0,4.95,12.11,40.86,0.77,2.26,34.06,4.18,9.85,42.42,2.88,4.18,69.0,2.21,3.6,5.82,2.12,0.82,1.49,2.5,5.63,13.65
47,51,Victor Alexander,Victor Joe Alexander,retired,C-F,81,265.0,August 31 1969,"Detroit, Michigan",True,/players/a/alexavi01.html,0.0,"[10, 9]",5,286.0,155.0,5755.0,6.91,13.29,52.03,0.13,0.41,31.22,6.79,12.9,52.59,2.01,3.16,63.56,2.77,5.85,8.66,1.6,0.85,1.12,2.36,4.47,15.88
48,52,Nickeil Alexander-Walker,Nickeil Alexander-Walker,New Orleans Pelicans,G,77,205.0,September 2 1998,"Toronto, Canada",False,/players/a/alexani01.html,19.0,[19],1,41.0,0.0,501.0,5.5,16.3,33.74,2.9,8.4,34.52,2.7,7.9,34.18,1.2,2.0,60.0,0.6,5.2,5.7,5.3,0.8,0.5,2.9,3.3,15.2
49,53,Steve Alford,Stephen Todd Alford,retired,G,74,183.0,November 23 1964,"Franklin, Indiana",True,/players/a/alforst01.html,0.0,"[7, 10]",4,235.0,6.0,2547.0,6.2,13.56,45.74,0.77,2.31,33.32,5.44,11.24,48.4,2.5,2.9,86.28,0.48,2.55,3.09,3.79,1.83,0.17,1.88,2.4,15.67
50,54,Rawle Alkins,Rawle Prince Alkins,retired,G,77,225.0,October 29 1997,"Brooklyn, New York",True,/players/a/alkinra01.html,0.0,[],1,10.0,1.0,120.0,3.9,11.7,33.33,0.9,3.6,25.0,3.0,8.1,37.04,2.4,3.6,66.67,3.3,4.5,7.8,3.9,0.3,0.0,2.4,2.1,11.1
51,56,Bob Allen,Robert J. Allen,retired,F,81,205.0,July 17 1946,Unknown,True,/players/a/allenbo01.html,0.0,[],1,27.0,0.0,232.0,2.2,6.7,32.84,0.0,0.0,0.0,2.2,6.7,32.84,3.1,5.6,55.36,4.26,4.44,8.7,1.6,0.0,0.0,0.0,4.2,7.4
52,57,Grayson Allen,Grayson James Allen,Memphis Grizzlies,G,76,198.0,October 8 1995,"Jacksonville, Florida",False,/players/a/allengr01.html,15.0,"[29, 15]",2,68.0,2.0,914.0,5.75,13.93,41.25,2.58,7.51,34.38,3.16,6.42,49.29,2.97,3.73,79.75,0.35,3.17,3.53,2.69,0.45,0.28,2.25,3.28,17.05
53,58,Jarrett Allen,Jarrett Allen,Brooklyn Nets,C-F,83,237.0,April 21 1998,"Austin, Texas",False,/players/a/allenja01.html,3.0,[3],3,206.0,161.0,4959.0,5.8,9.63,60.24,0.07,0.48,14.77,5.73,9.15,62.64,3.17,4.57,69.38,3.65,7.83,11.41,1.7,0.73,2.07,1.77,3.35,14.86
54,59,Jerome Allen,Jerome Byron Allen,retired,G,76,184.0,January 28 1973,"Philadelphia, Pennsylvania",True,/players/a/allenje01.html,0.0,"[12, 18, 8]",2,193.0,2.0,2248.0,3.1,8.72,35.51,1.1,3.54,31.15,1.95,5.27,37.04,1.77,2.85,61.91,0.91,2.66,3.53,5.67,1.34,0.23,2.74,3.36,9.02
55,60,Kadeem Allen,Kadeem Frank Allen,New York Knicks,G,73,200.0,January 15 1993,"Wilmington, North Carolina",False,/players/a/allenka01.html,20.0,"[20, 2]",3,47.0,2.0,640.0,5.03,11.64,43.27,1.25,3.53,35.39,3.85,8.11,47.5,3.14,4.18,75.24,0.78,3.21,3.99,6.15,1.35,0.42,2.45,3.84,14.55
56,61,Lavoy Allen,Lavoy Allen,retired,F-C,81,260.0,February 4 1989,"Morrisville, Pennsylvania",True,/players/a/allenla01.html,0.0,"[12, 23]",6,453.0,89.0,7977.0,4.33,9.29,46.66,0.03,0.11,22.36,4.31,9.16,47.03,0.99,1.48,66.86,3.74,5.95,9.72,2.07,0.64,1.1,1.37,3.74,9.7
57,62,Lucius Allen,Lucius Oliver Allen Jr.,retired,G,74,175.0,September 26 1947,"Kansas City, Kansas",True,/players/a/allenlu01.html,0.0,"[17, 14]",10,768.0,538.0607044043602,22512.0,7.02,15.27,45.96,0.0,0.0,0.0,7.02,15.27,45.96,3.0,3.94,76.26,0.77,3.2,3.96,5.67,1.19,0.24,0.39,3.21,17.05
58,63,Malik Allen,Malik Allen,retired,F-C,82,255.0,June 27 1978,"Willingboro, New Jersey",True,/players/a/allenma01.html,0.0,"[16, 5, 8, 17, 3, 7, 4, 22]",10,587.0,142.0,8877.0,5.19,11.65,44.6,0.01,0.1,13.3,5.17,11.56,44.75,1.23,1.53,80.56,2.34,4.36,6.68,1.16,0.64,1.1,1.55,4.45,11.63
59,64,Randy Allen,James Randall Allen,retired,F,80,220.0,January 26 1965,"Milton, Florida",True,/players/a/allenra01.html,0.0,[],2,70.0,6.0,789.0,5.19,11.74,44.18,0.0,0.33,0.0,5.19,11.41,45.45,1.08,2.08,52.14,2.41,4.25,6.66,1.04,0.8,0.89,1.42,4.95,11.46
60,65,Ray Allen,Walter Ray Allen,retired,G,77,205.0,July 20 1975,"Merced, California",True,/players/a/allenra02.html,0.0,"[17, 2, 16]",18,1376.0,1224.0,49224.0,6.7,14.86,45.09,2.33,5.83,40.03,4.39,9.04,48.63,3.44,3.85,89.36,0.97,3.16,4.13,3.44,1.15,0.19,2.12,2.25,19.18
61,66,Tony Allen,Anthony Allen,retired,G-F,76,213.0,January 11 1982,"Chicago, Illinois",True,/players/a/allento01.html,0.0,"[15, 2]",14,820.0,441.0,18055.0,5.15,10.86,47.41,0.25,0.88,28.42,4.91,9.98,49.24,2.69,3.8,70.89,2.04,3.72,5.76,2.15,2.31,0.68,2.24,3.88,13.27
62,68,Odis Allison,Odis Allison Jr.,retired,F,78,195.0,October 2 1949,Unknown,True,/players/a/allisod01.html,0.0,[],1,36.0,0.0,166.0,3.7,16.9,21.89,0.0,0.0,0.0,3.7,16.9,21.89,7.2,13.2,54.55,5.36,4.45,9.8,2.2,0.0,0.0,0.0,7.4,14.5
63,69,Lance Allred,Lance Collin Allred,retired,C,83,250.0,February 2 1981,"Salt Lake City, Utah",True,/players/a/allrela01.html,0.0,[],1,3.0,0.0,10.0,3.6,14.4,25.0,0.0,0.0,0.0,3.6,14.4,25.0,3.6,7.2,50.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,3.6,10.8
64,70,Darrell Allums,Darrell Wilbert Allums Jr.,retired,F,81,220.0,September 12 1958,"Los Angeles, California",True,/players/a/allumda01.html,0.0,[],1,22.0,2.309314305870012,276.0,3.0,8.7,34.48,0.0,0.1,0.0,3.0,8.6,34.88,1.7,2.9,58.62,2.5,6.0,8.5,3.3,0.7,1.0,3.0,6.7,7.7
65,71,Morris Almond,Morris Almond,retired,G,78,225.0,February 2 1985,"Dalton, Georgia",True,/players/a/almonmo01.html,0.0,"[29, 30]",3,38.0,1.0,361.0,4.31,11.23,38.4,0.68,2.39,28.62,3.63,8.85,41.0,2.61,3.5,74.52,1.01,3.58,4.6,1.21,1.23,0.42,1.91,4.2,11.87
66,72,Derrick Alston,Derrick Samuel Alston,retired,F,83,225.0,August 20 1972,"Bronx, New York",True,/players/a/alstode01.html,0.0,"[23, 1]",3,139.0,42.0,2657.0,4.3,8.79,48.98,0.0,0.1,0.0,4.3,8.75,49.2,1.54,3.18,48.62,3.06,4.01,7.08,1.32,1.27,1.2,1.49,4.05,10.17
67,73,Rafer Alston,Rafer Jamel Alston,retired,G,74,171.0,July 24 1976,"New York, New York",True,/players/a/alstora01.html,0.0,"[11, 28, 17, 16, 22, 3]",11,800.0,566.0,23260.0,4.51,11.86,37.99,1.79,5.15,34.69,2.72,6.72,40.39,1.72,2.38,72.33,0.45,3.02,3.48,5.87,1.51,0.2,2.23,2.55,12.58
68,74,Peter Aluma,Peter Aluma,retired,C,82,260.0,April 23 1973,"Lagos, Nigeria",True,/players/a/alumape01.html,0.0,[],1,2.0,0.0,5.0,7.2,14.4,50.0,0.0,0.0,0.0,7.2,14.4,50.0,0.0,0.0,0.0,7.2,7.2,14.4,0.0,7.2,7.2,14.4,28.8,14.4
69,75,John Amaechi,John Ekwugha Amaechi,retired,C-F,82,270.0,November 26 1970,"Boston, Massachusetts",True,/players/a/amaecjo01.html,0.0,"[22, 29, 6]",5,294.0,93.0,4811.0,4.95,12.35,40.05,0.0,0.07,0.0,4.95,12.21,40.51,3.82,5.69,67.21,1.71,4.06,5.76,1.71,0.66,0.7,2.9,3.72,13.77
70,76,Ashraf Amaya,Ashraf Omar Amaya,retired,F,80,230.0,November 23 1971,"Oak Park, Illinois",True,/players/a/amayaas01.html,0.0,[],2,85.0,34.0,1248.0,3.8,8.41,45.15,0.02,0.02,100.0,3.76,8.37,44.92,3.26,5.14,63.35,3.82,6.43,10.26,1.05,0.82,0.35,1.97,5.17,10.97
71,77,Al-Farouq Aminu,Al-Farouq Aminu,Orlando Magic,F,80,220.0,September 21 1990,"Atlanta, Georgia",False,/players/a/aminual01.html,22.0,"[25, 13, 7, 22]",10,688.0,431.0,17264.0,3.98,9.48,41.98,1.11,3.32,33.41,2.88,6.14,46.81,1.87,2.51,74.56,2.01,6.7,8.7,1.77,1.37,0.81,1.72,2.66,10.95
72,78,Lou Amundson,Louis Gabriel Amundson,retired,F-C,81,220.0,December 7 1982,"Ventura, California",True,/players/a/amundlo01.html,0.0,"[24, 20, 12, 10, 23, 18, 6, 5, 29]",10,550.0,77.0,7090.0,4.12,8.88,46.38,0.0,0.0,0.0,4.12,8.88,46.38,1.7,3.84,44.18,4.18,5.95,10.15,1.43,1.01,1.98,2.04,5.46,9.92
73,79,Bob Anderegg,Robert H. Anderegg,retired,F-G,75,200.0,August 24 1937,"Monroe, Wisconsin",True,/players/a/anderbo01.html,0.0,[],1,33.0,0.7874166904200319,373.0,5.3,13.8,38.41,0.0,0.0,0.0,5.3,13.8,38.41,2.2,4.1,53.66,2.26,4.44,6.7,2.8,0.0,0.0,0.0,3.1,12.8
74,80,Chris Andersen,Christopher Claus Andersen,retired,C-F,82,245.0,July 7 1978,"Long Beach, California",True,/players/a/anderch01.html,0.0,"[8, 16, 15, 6]",15,722.0,60.0,12675.0,3.89,7.33,53.0,0.05,0.23,21.67,3.84,7.12,53.89,3.1,4.74,65.49,3.43,6.75,10.21,1.0,0.93,2.84,1.5,3.9,10.95
